Iter	MSC	MPC	Fit	Refactoring #	Ref Accumulated #	expected coupling	actual coupling	search space	elapsed time	exhaustive space
660	0.2284484035	8.2846638655	0.0275748548	1	660	6440	7887	4281420	1194.83
670	0.2287130557	8.2678571429	0.0276629182	1	670	6419	7871	4346290	1210.48
680	0.2282973105	8.2552521008	0.0276547957	1	680	6399	7859	4411160	1227.88
690	0.2266144784	8.2352941176	0.0275174724	1	690	6379	7840	4476030	1244.53
700	0.2276638479	8.2279411765	0.0276696008	1	700	6359	7833	4540900	1261.71
710	0.2300446485	8.2069327731	0.0280305267	1	710	6337	7813	4605770	1279.00
720	0.2308362130	8.1880252101	0.0281919275	1	720	6316	7795	4670640	1298.48
730	0.2322802729	8.1670168067	0.0284412630	1	730	6296	7775	4735510	1319.07
740	0.2326896906	8.1491596639	0.0285538264	1	740	6276	7758	4800380	1338.19
750	0.2337603686	8.1271008403	0.0287630698	1	750	6255	7737	4865250	1356.65
760	0.2340494006	8.1050420168	0.0288770126	1	760	6234	7716	4930120	1375.02
770	0.2347011479	8.0861344538	0.0290251355	1	770	6214	7698	4994990	1391.83
780	0.2349094507	8.0672268908	0.0291189840	1	780	6194	7680	5059860	1408.24
790	0.2339698851	8.0493697479	0.0290668577	1	790	6173	7663	5124730	1425.40
800	0.2337213081	8.0388655462	0.0290739168	1	800	6153	7653	5189600	1443.29
810	0.2336442940	8.0262605042	0.0291099814	1	810	6131	7641	5254470	1461.09
820	0.2335032324	8.0094537815	0.0291534527	1	820	6111	7625	5319340	1480.13
830	0.2325587788	7.9947478992	0.0290889446	1	830	6091	7611	5384210	1499.07
840	0.2310686565	7.9905462185	0.0289177548	1	840	6075	7607	5449080	1515.96
850	0.2313252469	7.9789915966	0.0289917898	1	850	6064	7596	5513950	1533.93
860	0.2313041141	7.9695378151	0.0290235293	1	860	6054	7587	5578820	1551.26
870	0.2303773480	7.9590336134	0.0289453920	1	870	6044	7577	5643690	1568.74
880	0.2311818446	7.9527310924	0.0290694910	1	880	6034	7571	5708560	1586.80
890	0.2309765087	7.9422268908	0.0290820839	1	890	6023	7561	5773430	1605.78
900	0.2314792775	7.9327731092	0.0291801208	1	900	6013	7552	5838300	1623.60
910	0.2312358377	7.9243697479	0.0291803443	1	910	6003	7544	5903170	1640.25
920	0.2319540185	7.9138655462	0.0293098255	1	920	5993	7534	5968040	1657.51
930	0.2321339876	7.9023109244	0.0293754561	1	930	5982	7523	6032910	1675.00
940	0.2320046185	7.8886554622	0.0294099064	1	940	5969	7510	6097780	1692.02
950	0.2313846062	7.8781512605	0.0293704193	1	950	5958	7500	6162650	1709.57
960	0.2320456888	7.8644957983	0.0295054756	1	960	5947	7487	6227520	1726.83
970	0.2321573745	7.8571428571	0.0295473022	1	970	5937	7480	6292390	1743.88
980	0.2323335768	7.8476890756	0.0296053494	1	980	5927	7471	6357260	1761.12
990	0.2308096987	7.8392857143	0.0294426951	1	990	5917	7463	6422130	1778.28
1000	0.2314888624	7.8287815126	0.0295689517	1	1000	5907	7453	6487000	1794.51
1010	0.2310505768	7.8182773109	0.0295526198	1	1010	5897	7443	6551870	1811.02
1020	0.2294475746	7.8077731092	0.0293870700	1	1020	5887	7433	6616740	1827.15
1030	0.2298714489	7.7962184874	0.0294849932	1	1030	5876	7422	6681610	1843.43
1040	0.2301181276	7.7857142857	0.0295564568	1	1040	5866	7412	6746480	1860.68
1050	0.2304576795	7.7731092437	0.0296480690	1	1050	5854	7400	6811350	1877.81
1060	0.2303249257	7.7626050420	0.0296710865	1	1060	5844	7390	6876220	1895.04
1070	0.2298211965	7.7563025210	0.0296302518	1	1070	5834	7384	6941090	1911.49
1080	0.2301976044	7.7457983193	0.0297190289	1	1080	5824	7374	7005960	1928.47
1090	0.2298789000	7.7363445378	0.0297141497	1	1090	5812	7365	7070830	1944.98
1100	0.2296168015	7.7247899160	0.0297246662	1	1100	5801	7354	7135700	1961.58
