"Class: 25, Method: 200, Field: 120 dep:1197"										
Before: cohesion:0.013916 coupling:45.920000 raw_coupling:1148.000000 fit:0.000303 										
Iter	MSC	MPC	Fit	Refactoring #	Ref Accumulated #	expected coupling	actual coupling	search space	elapsed time	exhaustive space
73	0.016523674	38.64	0.000427631	1	73	966	966	14600	7.87	9.4922E+167
74	0.019216418	38.56	0.000498351	1	74	964	964	14800	7.96	1.8984E+170
75	0.019187011	38.44	0.000499142	1	75	961	961	15000	8.05	3.7969E+172
76	0.018894312	38.36	0.000492553	1	76	959	959	15200	8.13	7.5938E+174
77	0.018683159	38.28	0.000488066	1	77	957	957	15400	8.22	1.5188E+177
78	0.01868903	38.2	0.000489242	1	78	955	955	15600	8.3	3.0375E+179
79	0.019492866	38.12	0.000511355	1	79	953	953	15800	8.39	6.075E+181
80	0.019902654	38.04	0.000523203	1	80	951	951	16000	8.47	1.215E+184
81	0.019925223	37.96	0.000524901	1	81	949	949	16200	8.56	2.43E+186
82	0.019893588	37.88	0.000525174	1	82	947	947	16400	8.64	4.86E+188
83	0.019953298	37.76	0.000528424	1	83	944	944	16600	8.73	9.72E+190
84	0.019831745	37.68	0.00052632	1	84	942	942	16800	8.81	1.944E+193
85	0.019891342	37.6	0.000529025	1	85	940	940	17000	8.9	3.888E+195
86	0.016427292	37.52	0.000437828	1	86	938	938	17200	8.99	7.776E+197
87	0.01646133	37.44	0.000439672	1	87	936	936	17400	9.07	1.5552E+200
88	0.016399142	37.36	0.000438949	1	88	934	934	17600	9.15	3.1104E+202
89	0.016308653	37.28	0.000437464	1	89	932	932	17800	9.23	6.2208E+204
90	0.01870085	37.2	0.000502711	1	90	930	930	18000	9.31	1.2442E+207
91	0.017734666	37.12	0.000477766	1	91	928	928	18200	9.4	2.4883E+209
92	0.018217758	37.04	0.00049184	1	92	926	926	18400	9.48	4.9766E+211
93	0.019045838	36.96	0.00051531	1	93	924	924	18600	9.56	9.9533E+213
94	0.019300568	36.88	0.000523334	1	94	922	922	18800	9.64	1.9907E+216
95	0.019620872	36.84	0.000532597	1	95	921	921	19000	9.72	3.9813E+218
96	0.019581241	36.76	0.000532678	1	96	919	919	19200	9.81	7.9626E+220
97	0.019066822	36.68	0.000519815	1	97	917	917	19400	9.89	1.5925E+223
98	0.019477461	36.6	0.000532171	1	98	915	915	19600	9.97	3.1851E+225
99	0.020504637	36.52	0.000561463	1	99	913	913	19800	10.06	6.3701E+227
100	0.019059767	36.48	0.000522472	1	100	912	912	20000	10.14	1.274E+230
101	0.019001782	36.4	0.000522027	1	101	910	910	20200	10.22	2.548E+232
102	0.018966271	36.32	0.000522199	1	102	908	908	20400	10.3	5.0961E+234
103	0.01982913	36.28	0.000546558	1	103	907	907	20600	10.38	1.0192E+237
104	0.020782191	36.2	0.000574094	1	104	905	905	20800	10.46	2.0384E+239
105	0.020596769	36.16	0.000569601	1	105	904	904	21000	10.54	4.0769E+241
106	0.020619639	36.12	0.000570865	1	106	903	903	21200	10.62	8.1537E+243
107	0.020673533	36.08	0.000572992	1	107	902	902	21400	10.71	1.6307E+246
108	0.02178937	36.04	0.000604589	1	108	901	901	21600	10.8	3.2615E+248
109	0.023151406	35.96	0.00064381	1	109	899	899	21800	10.88	6.523E+250
110	0.023106963	35.92	0.00064329	1	110	898	898	22000	10.96	1.3046E+253
111	0.023525047	35.88	0.000655659	1	111	897	897	22200	11.04	2.61E+255
112	0.023294219	35.84	0.00064995	1	112	896	896	22400	11.12	5.22E+257
113	0.023301577	35.8	0.000650882	1	113	895	895	22600	11.2	1.0437E+260
114	0.020489833	35.76	0.000572982	1	114	894	894	22800	11.28	2.0874E+262
115	0.022265085	35.72	0.000623323	1	115	893	893	23000	11.37	4.1747E+264
116	0.021204843	35.68	0.000594306	1	116	892	892	23200	11.45	8.3494E+266
117	0.021196817	35.64	0.000594748	1	117	891	891	23400	11.53	1.6699E+269
118	0.022251478	35.56	0.000625745	1	118	889	889	23600	11.61	3.3398E+271
119	0.022251902	35.48	0.000627168	1	119	887	887	23800	11.69	6.6795E+273
120	0.022615057	35.44	0.000638122	1	120	886	886	24000	11.77	1.3359E+276
121	0.022582967	35.36	0.000638659	1	121	884	884	24200	11.85	2.6718E+278
122	0.023299341	35.24	0.000661162	1	122	881	881	24400	11.94	5.3436E+280
123	0.024534207	35.16	0.000697788	1	123	879	879	24600	12.02	1.0687E+283
124	0.022888509	35.12	0.000651723	1	124	878	878	24800	12.11	2.1375E+285
125	0.020791329	35.08	0.000592683	1	125	877	877	25000	12.19	4.2749E+287
